QUESTION: How long did you usually think about/plan before buying fashion and accessories from a premium/luxury brand?
answer,Female,Male,country
Spontaneous purchase,99,104,uk
Up to two weeks,108,132,uk
Up to a month,100,106,uk
Up to three months,59,66,uk
Up to six months,22,37,uk
Over a year,16,16,uk
Differs every time,34,29,uk
Don't know,27,18,uk
Spontaneous purchase,140,169,germany
Up to two weeks,81,132,germany
Up to a month,62,80,germany
Up to three months,40,36,germany
Up to six months,27,24,germany
Over a year,11,13,germany
Differs every time,36,55,germany
Don't know,30,28,germany
Spontaneous purchase,77,103,italy
Up to two weeks,123,168,italy
Up to a month,80,105,italy
Up to three months,31,67,italy
Up to six months,21,22,italy
Over a year,9,8,italy
Differs every time,84,57,italy
Don't know,31,28,italy
Spontaneous purchase,100,121,france
Up to two weeks,54,93,france
Up to a month,89,104,france
Up to three months,49,59,france
Up to six months,20,34,france
Over a year,15,11,france
Differs every time,84,62,france
Don't know,35,35,france


answer,Traditionals & Baby Boomer (1922-1964),Generation X (Baby Bust) (1965-1979),Millennials / Generation Y (1980-1994),iGen / Gen Z (1995-2012),country
Spontaneous purchase,26,57,78,42,uk
Up to two weeks,25,57,111,47,uk
Up to a month,17,62,87,40,uk
Up to three months,8,33,57,27,uk
Up to six months,3,11,26,19,uk
Over a year,0,6,15,11,uk
Differs every time,14,22,17,10,uk
Don't know,4,12,21,8,uk
Spontaneous purchase,50,84,110,65,germany
Up to two weeks,19,51,88,55,germany
Up to a month,17,28,46,51,germany
Up to three months,9,12,25,30,germany
Up to six months,1,11,20,19,germany
Over a year,2,2,10,10,germany
Differs every time,18,29,27,17,germany
Don't know,6,21,17,14,germany
Spontaneous purchase,25,72,56,27,italy
Up to two weeks,34,108,98,51,italy
Up to a month,27,47,66,45,italy
Up to three months,5,32,41,20,italy
Up to six months,4,13,17,9,italy
Over a year,1,5,5,6,italy
Differs every time,44,49,30,18,italy
Don't know,8,21,19,11,italy
Spontaneous purchase,31,74,82,34,france
Up to two weeks,12,40,51,44,france
Up to a month,32,46,76,39,france
Up to three months,15,24,44,25,france
Up to six months,2,17,19,16,france
Over a year,0,6,6,14,france
Differs every time,20,40,46,40,france
Don't know,4,23,30,13,france


answer,Up to   22 800,  22 800 up to   43 200,  43 200 up to   98 400,  98 400 and more,Prefer not to say,country
Spontaneous purchase,66,72,47,12,6,uk
Up to two weeks,55,71,96,14,4,uk
Up to a month,46,71,69,16,4,uk
Up to three months,31,50,32,8,4,uk
Up to six months,11,23,19,3,3,uk
Over a year,9,12,9,0,2,uk
Differs every time,26,16,12,2,7,uk
Don't know,16,9,5,4,11,uk
Spontaneous purchase,81,83,87,30,28,germany
Up to two weeks,50,73,65,12,13,germany
Up to a month,31,47,51,8,5,germany
Up to three months,20,24,27,2,3,germany
Up to six months,12,10,24,4,1,germany
Over a year,5,8,6,3,2,germany
Differs every time,20,30,27,7,7,germany
Don't know,22,18,5,3,10,germany
Spontaneous purchase,24,51,70,19,16,italy
Up to two weeks,54,108,93,17,19,italy
Up to a month,26,63,70,11,15,italy
Up to three months,11,45,30,7,5,italy
Up to six months,10,18,11,1,3,italy
Over a year,5,6,3,2,1,italy
Differs every time,23,54,33,8,23,italy
Don't know,17,20,7,0,15,italy
Spontaneous purchase,51,88,62,8,12,france
Up to two weeks,41,53,38,11,4,france
Up to a month,50,68,57,8,10,france
Up to three months,35,32,35,0,6,france
Up to six months,14,22,15,2,1,france
Over a year,10,6,4,1,5,france
Differs every time,47,49,30,2,18,france
Don't know,29,17,8,2,14,france




"QUESTION: Before buying your last cosmetic product from a premium/luxury brand,  how long did you think about it?"
answer,Female,Male,country
It was a spontaneous purchase,54,23,uk
A couple of days,82,29,uk
Up to a week,60,34,uk
Up to a month,57,30,uk
Up to 3 months,18,11,uk
Longer than 3 months,5,8,uk
Differs every time,20,5,uk
I don't know,10,8,uk
It was a spontaneous purchase,82,67,germany
A couple of days,66,39,germany
Up to a week,38,45,germany
Up to a month,30,21,germany
Up to 3 months,13,14,germany
Longer than 3 months,9,7,germany
Differs every time,25,14,germany
I don't know,16,3,germany
It was a spontaneous purchase,66,43,italy
A couple of days,85,48,italy
Up to a week,64,38,italy
Up to a month,31,28,italy
Up to 3 months,17,10,italy
Longer than 3 months,1,6,italy
Differs every time,20,13,italy
I don't know,6,10,italy
It was a spontaneous purchase,58,26,france
A couple of days,71,37,france
Up to a week,37,14,france
Up to a month,37,29,france
Up to 3 months,8,10,france
Longer than 3 months,3,1,france
Differs every time,19,12,france
I don't know,9,6,france


answer,Traditionals & Baby Boomer (1922-1964),Generation X (Baby Bust) (1965-1979),Millennials / Generation Y (1980-1994),iGen / Gen Z (1995-2012),country
It was a spontaneous purchase,8,29,25,15,uk
A couple of days,7,30,51,23,uk
Up to a week,8,16,50,20,uk
Up to a month,10,22,39,16,uk
Up to 3 months,1,7,14,7,uk
Longer than 3 months,0,2,6,5,uk
Differs every time,4,6,7,8,uk
I don't know,5,3,9,1,uk
It was a spontaneous purchase,30,46,43,30,germany
A couple of days,19,29,31,26,germany
Up to a week,13,12,37,21,germany
Up to a month,6,13,18,14,germany
Up to 3 months,2,3,11,11,germany
Longer than 3 months,1,3,4,8,germany
Differs every time,9,11,10,9,germany
I don't know,0,8,8,3,germany
It was a spontaneous purchase,18,38,38,15,italy
A couple of days,16,60,43,14,italy
Up to a week,12,38,35,17,italy
Up to a month,3,16,29,11,italy
Up to 3 months,5,6,13,3,italy
Longer than 3 months,1,4,1,1,italy
Differs every time,7,19,6,1,italy
I don't know,4,6,5,1,italy
It was a spontaneous purchase,8,23,31,22,france
A couple of days,10,33,40,25,france
Up to a week,7,15,19,10,france
Up to a month,16,11,32,7,france
Up to 3 months,1,5,4,8,france
Longer than 3 months,0,2,0,2,france
Differs every time,7,4,14,6,france
I don't know,0,2,9,4,france


answer,Up to   22 800,  22 800 up to   43 200,  43 200 up to   98 400,  98 400 and more,Prefer not to say,country
It was a spontaneous purchase,29,23,18,1,6,uk
A couple of days,19,33,46,9,4,uk
Up to a week,19,29,34,6,6,uk
Up to a month,27,36,16,5,3,uk
Up to 3 months,4,10,10,4,1,uk
Longer than 3 months,2,4,6,0,1,uk
Differs every time,7,6,7,2,3,uk
